editor_id,full_name,base_damage,secondary_damage,capacity,ammo_per_shot,attack_delay_seconds,weight,value,has_object_template
"crUnarmedMirelurkHunter","Mirelurk cazador desarmado",1,0.000000,0,1,0.000000,0.000000,0,False
"crUnarmedMirelurkKing","Mirelurk rey desarmado",1,0.000000,0,1,0.000000,0.000000,0,False
"crUnarmedMirelurk","Mirelurk desarmado",1,0.000000,0,1,0.000000,0.000000,0,False
"crUnarmedMolerat","Rata topo desarmada",1,0.000000,0,1,10.000000,3.000000,0,False
"UnarmedPowerArmor","Servoarmadura desarmada",10,0.000000,0,1,0.000000,0.000000,0,False
"crUnarmedRadStag","Mutaciervo desarmado",1,0.000000,0,1,0.000000,0.000000,0,False
"crUnarmedRadRoach","Mutaracha desarmada",1,0.000000,0,1,0.000000,0.000000,0,False
"crUnarmedRadScorpion","Mutascorpius desarmado",1,0.000000,0,1,0.000000,0.000000,0,False
"crUnarmedStingwing","Aguijoneador desarmado",1,0.000000,0,1,0.000000,0.000000,0,False
"crUnarmedBehemoth","Behemoth desarmado",1,0.000000,0,1,0.000000,0.000000,0,False
"crUnarmedYaoGuai","Yao guai desarmado",1,0.000000,0,1,0.000000,0.000000,0,False
"crUnarmedViciousDog","Perro violento desarmado",0,0.000000,0,1,0.000000,0.000000,0,False
"44",".44",48,17.000000,6,1,0.150000,4.000000,40,False
"crSentryBotRightMinigun","Ametralladora derecha de Robot centinela",1,0.000000,0,1,1.000000,3.000000,0,False
"crSentryBotLeftMiniRocketLauncher","SentryBotLeftRocketLauncher",1,0.000000,0,1,5.000000,3.000000,0,False
"GaussRifle","Rifle Gauss",5,24.000000,15,3,0.150000,8.000000,200,False
"OxygenTankTrap","",2,0.000000,10000,1,0.000000,25.000000,0,False
"crAssaultronLaser","Láser de Asaltrón",0,8.000000,0,1,1.000000,8.000000,0,False
"GammaGun","Arma gamma",0,16.000000,8,1,0.150000,3.000000,90,False
"crAssaultronRightClaw","",1,10.000000,0,1,0.000000,2.000000,0,False
"crAssaultronLeftClaw","",1,10.000000,0,1,0.000000,2.000000,0,False
"CombatRifle","Rifle de combate",33,21.000000,20,1,0.280000,7.000000,130,False
"crFireHydrantBat","Boca de incendios",125,15.000000,0,1,0.000000,3.000000,0,False
"fragMine","Mina de fragmentación",0,3.000000,0,1,0.000000,0.550000,20,False
"nukaGrenade","Nuka granada",0,3.000000,0,1,0.000000,0.850000,35,False
"Flamer","Lanzallamas",0,31.000000,100,1,0.150000,15.000000,150,False
"HalluciGenGrenade","Granada de gas HalluciGen",1,3.000000,0,1,0.000000,0.800000,25,False
"crUnarmedSuperMutant","Supermutante desarmado",1,0.000000,0,1,0.000000,0.000000,0,False
"crUnarmedGorilla","Gorila desarmado",50,0.000000,0,1,0.000000,0.000000,0,False
"crHandyFlamethrowerLeft","Lanzallamas",0,0.000000,0,1,0.000000,0.000000,0,False
"crHandyFlamethrowerMiddle","Lanzallamas",1,0.000000,0,1,0.000000,0.000000,0,False
"crHandyPincherLeft","Pinza",20,0.000000,0,1,0.000000,0.000000,0,False
"crHandyPincherRight","Pinza",20,0.000000,0,1,0.000000,0.000000,0,False
"crHandySawRight","Sierra",10,0.000000,0,1,0.000000,0.000000,0,False
"crHandySawMiddle","Sierra",10,0.000000,0,1,0.000000,0.000000,0,False
"fragGrenade","Granada de fragmentación",0,3.000000,0,1,0.000000,0.600000,15,False
"Ripper","Destripador",0,0.000000,0,1,0.000000,6.000000,130,False
"Shishkebab","Pincho moruno",13,0.000000,0,1,0.000000,3.000000,120,False
"PoolCue","Taco de billar",13,10.000000,0,1,0.000000,1.000000,10,False
"crWeapMirelurkKing","Ataque sónico",0,0.000000,0,1,2.000000,3.000000,0,False
"LeadPipe","Tubo de plomo",11,10.000000,0,1,0.000000,3.000000,15,False
"crProtectron01RightArmLaserGun","",0,8.000000,0,1,1.500000,0.000000,0,False
"WalkingCane","Bastón",10,0.000000,0,1,0.000000,2.000000,10,False
"Switchblade","Navaja automática",8,0.000000,0,1,0.000000,1.000000,20,False
"PipeWrench","Llave grifa",13,10.000000,0,1,0.000000,2.000000,30,False
"DeathclawGauntlet","Garra de sanguinario",25,0.000000,0,1,0.000000,10.000000,85,False
"crVertibirdGunLeft","Cañón frontal izquierdo de vertibot",1,0.000000,0,1,1.000000,0.000000,0,False
"crVertibirdGunRight","Cañón frontal derecho de vertibot",1,0.000000,0,1,1.000000,0.000000,0,False
"GatlingLaser","Ametralladora láser",0,35.000000,500,1,0.150000,18.000000,200,False
"Sledgehammer","Almádena",23,15.000000,0,1,0.000000,12.000000,40,False
"zzz_JunkJet","Junk Jet",40,15.000000,100,1,0.150000,19.000000,200,False
"Broadsider","Cañonero",5,33.000000,1,1,0.500000,16.000000,140,False
"RailwayRifle","Ferrocarril",100,24.000000,10,1,1.000000,9.000000,90,False
"CryoGrenade","Granada criogénica",0,3.000000,0,1,0.000000,0.750000,25,False
"PulseGrenade","Granada electromagnética",0,3.000000,0,1,0.000000,0.700000,20,False
"TrapGrenadeBouquetWeaponFrag3","",80,6.000000,0,1,0.000000,0.000000,0,False
"SuperSledge","Supermaza",40,15.000000,0,1,0.000000,20.000000,70,False
"AlienBlaster","Bláster alienígena",0,14.000000,42,1,0.200000,2.000000,90,False
"PlasmaGun","[Plasma]",24,16.000000,18,1,0.300000,3.000000,85,False
"FlareGun","Pistola de bengalas",5,17.000000,1,1,0.000000,2.000000,50,False
"crUnarmedMirelurkQueen","Mirelurk reina desarmada",1,0.000000,0,1,0.000000,0.000000,0,False
"zzz_BottlecapMine","Mina de chapas",0,3.000000,0,1,0.000000,0.500000,40,False
"BaseballGrenade","Granada de béisbol",0,3.000000,0,1,0.000000,0.600000,20,False
"TrapGrenadeBouquetWeaponFrag1","",80,6.000000,0,1,0.000000,0.000000,0,False
"PlasmaGrenade","Granada de plasma",0,3.000000,0,1,0.000000,0.700000,30,False
"NukeMine","Mina nuclear",0,0.000000,0,1,0.000000,0.800000,40,False
"PlasmaMine","Mina de plasma",0,3.000000,0,1,0.000000,0.650000,35,False
"PulseMine","Mina electromagnética",0,3.000000,0,1,0.000000,0.350000,25,False
"MolotovCocktail","Cóctel molotov",0,3.000000,0,1,0.000000,0.450000,20,False
"CryoMine","Mina criogénica",0,3.000000,0,1,0.000000,0.700000,30,False
"crUnarmedSentryBot","Robot centinela desarmado",1,0.000000,0,1,0.000000,0.000000,0,False
"crWeapMirelurkQueenLeft","Rociada de ácido",1,0.000000,0,1,5.000000,3.000000,0,False
"crWeapMirelurkQueenRight","Rociada de ácido",1,0.000000,0,1,5.000000,3.000000,0,False
"crDeathclawDirtThrow","",1,0.000000,0,1,0.000000,3.000000,0,False
"PowerFist","Servopuño",20,10.000000,0,1,0.000000,4.000000,100,False
"crTurretMountedLaserGunLtBlue","Arma láser de torreta",0,8.000000,0,1,2.000000,25.000000,0,False
"Minigun_Vertibird","Ametralladora",5,6.000000,500,1,0.000000,0.000000,0,False
"WorkshopArtillerySmokeFlare","Granada de humo de artillería",1,3.000000,0,1,0.000000,0.100000,0,False
"crSentryBotLeftShoulderClusterLauncher","",1,0.000000,0,1,3.000000,3.000000,0,False
"crSentryBotRightShoulderClusterLauncher","",1,0.000000,0,1,3.000000,3.000000,0,False
"crSuperMutantSuiciderBomb","Bomba",50,10.000000,0,1,0.000000,0.000000,0,False
"RollingPin","Rodillo de amasar",11,0.000000,0,1,0.000000,1.000000,10,False
"RevolutionarySword","Espada revolucionaria",16,10.000000,0,1,0.000000,3.000000,50,False
"crProtectron02HeadLaser","Láser de cabeza de Protectrón",0,8.000000,0,1,1.000000,0.000000,0,False
"crProtectron02LeftArmLaserGun","",0,8.000000,0,1,1.500000,0.000000,0,False
"crProtectron03HeadLaser","Láser de cabeza de Protectrón",0,8.000000,0,1,1.000000,0.000000,0,False
"crProtectron03LeftArmLaserGun","",0,8.000000,0,1,1.500000,0.000000,0,False
"crProtectron03RightArmLaserGun","",0,8.000000,0,1,1.500000,0.000000,0,False
"crSelfDestructBot","Robot desarmado",25,0.000000,0,1,0.000000,0.000000,0,False
"ChineseOfficerSword","Espada de oficial chino",16,10.000000,0,1,0.000000,3.000000,50,False
"PipeBoltAction","Tubo de cerrojo",34,16.000000,6,1,0.150000,3.000000,35,False
"PipeRevolver","Revólver de tubo",24,16.000000,6,1,0.150000,3.000000,30,False
"CombatShotgun","Escopeta de combate",50,21.000000,8,1,0.500000,7.000000,125,False
"crMrGutsy_44_Left","44",1,8.000000,0,1,1.500000,5.000000,0,False
"crMrGutsy_44_Right",".44",1,8.000000,0,1,1.500000,5.000000,0,False
"crGutsy02LeftArmCombatRifle","Rifle de combate",0,8.000000,0,1,0.000000,10.000000,0,False
"Gutsy02LeftArmLaserGunAuto","Arma láser",0,8.000000,0,1,0.100000,10.000000,50,False
"crBehemothBoulder","Behemoth audaz",1,3.000000,0,1,10.000000,1.000000,0,False
"PipeSyringer","Inyector",1,19.000000,1,1,0.150000,4.000000,75,False
"SubmachineGun","Subfusil",0,21.000000,50,1,0.150000,7.000000,100,False
"crProtectron02LeftArmFlamer","Lanzallamas",0,6.000000,0,1,0.000000,30.000000,0,False
"crProtectron02RightArmFlamer","Lanzallamas",0,6.000000,0,1,0.000000,30.000000,0,False
"BoxingGlove","Guante de boxeo",9,10.000000,0,1,0.000000,1.000000,15,False
"Cryolator","Cryolator",0,25.000000,50,1,0.100000,10.000000,145,False
"DN160_GrognakAxe","Hacha de Grognak",25,15.000000,0,1,0.000000,10.000000,100,False
"TireIron","Barreta",12,0.000000,0,1,0.000000,2.000000,25,False
"crTurretMountedLaserGun02","Arma láser de torreta",0,8.000000,0,1,1.000000,25.000000,0,False
"crTurretMountedLaserGun03","Arma láser de torreta",0,8.000000,0,1,1.000000,25.000000,0,False
"crTurretBubbleLaserGun04","Arma láser de torreta",0,8.000000,0,1,1.000000,25.000000,0,False
"WorkshopArtilleryWeapon","Mortero",33,15.000000,1,1,0.000000,25.000000,400,False
"WorkshopArtilleryWeaponClose","Mortero",33,15.000000,1,1,0.000000,25.000000,400,False
"WorkshopArtilleryWeaponFar","Mortero",33,15.000000,1,1,0.000000,25.000000,400,False
"Minigun_Vertibird_Player","Ametralladora",25,6.000000,500,1,0.000000,0.000000,0,False
"zzz_FusionCoreKnightWeapon","Eyector de núcleo de fusión",15,3.000000,1,1,0.000000,40.000000,0,False
"crUnarmedStingwingNoPoison","Aguijoneador desarmado",1,0.000000,0,1,0.000000,0.000000,0,False
"crProtectron01LeftArmNailGun","",1,6.000000,0,1,0.500000,3.000000,0,False
"crProtectron01RightArmNailGun","",1,6.000000,0,1,0.500000,3.000000,0,False
"crProtectron01LeftArmLaserGunBlue","",0,8.000000,0,1,1.500000,0.000000,0,False
"crTurretTripodMachineGunMkIII","Ametralladora de torreta de alta potencia",1,8.000000,0,1,0.000000,25.000000,0,False
"crTurretTripodMachineGunMkV","Ametralladora de torreta incendiaria",1,8.000000,0,1,0.000000,25.000000,0,False
"crTurretTripodMachineGunMkVII","Ametralladora de torreta explosiva",1,8.000000,0,1,0.000000,25.000000,0,False
"crProtectron01LeftArmLaserGun","",0,8.000000,0,1,1.500000,0.000000,0,False
"crProtectron02RightArmLaserGun","",0,8.000000,0,1,1.500000,0.000000,0,False
"crTurretMountedBallistic","Arma para torreta",1,8.000000,0,1,0.000000,25.000000,0,False
"crTurretBubbleBallistic3shot","Arma para torreta",15,8.000000,0,1,0.000000,25.000000,0,False
"crTurretMountedLaserGun6shot","Arma láser de torreta",0,8.000000,0,1,1.000000,25.000000,0,False
"crUnarmedAssaultron","Asaltrón desarmado",1,0.000000,0,1,0.000000,0.000000,0,False
"crUnarmedProtectron","Protectrón desarmado",1,0.000000,0,1,0.000000,0.000000,0,False
"crUnarmedGlowingOne","Resplandeciente desarmado",1,0.000000,0,1,0.000000,0.000000,0,False
"crProtectron02LeftArmCryo01","Cryolator",0,6.000000,0,1,0.000000,30.000000,0,False
"crProtectron02RightArmCryo01","Cryolator",0,6.000000,0,1,0.000000,30.000000,0,False
"crMrGutsy_CombatRifle_Right","Rifle de combate",1,8.000000,0,1,0.000000,10.000000,0,False
"crMrGutsy_LaserGun_Middle","",0,8.000000,0,1,0.500000,0.000000,0,False
"crMrHandy_Hand_Left_Saw","Sierra",0,0.000000,0,1,0.000000,0.000000,0,False
"crMrHandy_Hand_Right_Saw","Sierra",20,0.000000,0,1,0.000000,0.000000,0,False
"crMrHandy_Hand_Middle_Saw","Sierra",0,0.000000,0,1,0.000000,0.000000,0,False
"crMrGutsy_LaserGun_Left","",0,8.000000,0,1,0.500000,0.000000,0,False
"crMrGutsy_CombatRifle_Middle","Rifle de combate",20,8.000000,0,1,0.000000,10.000000,0,False
"crMrGutsy_LaserGun_Right","",0,8.000000,0,1,0.500000,0.000000,0,False
"crMrGutsy_CombatRifle_Left","Rifle de combate",1,8.000000,0,1,0.000000,10.000000,0,False
"WorkshopTrapFlamethrowerWeap01","Lanzallamas",0,15.000000,500,1,0.150000,15.000000,125,False
"WorkshopTrapFlamethrowerWeap02","Lanzallamas",0,15.000000,500,1,0.150000,15.000000,125,False
"crAssaultronLeftBlade","",1,10.000000,0,1,0.000000,2.000000,0,False
"crAssaultronRightBlade","",1,10.000000,0,1,0.000000,2.000000,0,False
"crSentryBotLeftShoulderClusterLauncherIndoors","",1,0.000000,0,1,3.000000,3.000000,0,False
"crSentryBotRightShoulderClusterLauncherIndoors","",1,0.000000,0,1,3.000000,3.000000,0,False
"crMrGutsy_Saw_Middle","Sierra",1,0.000000,0,1,0.000000,0.000000,0,False
"crMrGutsy_Saw_Right","Sierra",1,0.000000,0,1,0.000000,0.000000,0,False
"crMrGutsy_Saw_Left","Sierra",1,0.000000,0,1,0.000000,0.000000,0,False
"crWorkshopTurretMountedShotgun01","Escopeta de la torreta",0,4.000000,0,1,0.400000,25.000000,0,False
"crTurretMissileLauncher01","Lanzamisiles de la torreta",15,3.000000,4,1,0.750000,20.000000,0,False
"crTurretMountedSpotlight01","Foco de la torreta",1,8.000000,0,1,999.000000,25.000000,0,False
"DeathTambo","Pandereta de la muerte",10,10.000000,0,1,0.000000,0.500000,60,False
"GuitarSword","Espada guitarra",16,10.000000,0,1,0.000000,3.000000,55,False
"WarDrum","Tambor de guerra",40,15.000000,0,1,0.000000,20.000000,115,False
"crUnarmedMothman","Hombre polilla desarmado",0,0.000000,0,1,10.000000,0.000000,0,False
"zzz_TestAssaultRifle","Rifle de asalto",30,6.000000,20,1,0.250000,10.000000,100,False
"crMothmanAttack1","Ataque del hombre polilla",50,0.000000,0,1,0.000000,2.000000,0,False
"crMothmanStalk","Acecho del hombre polilla",14,10.000000,0,1,0.000000,2.000000,0,False
"crMothmanRangedAttackSingleShotVer1","Disparo único versión 1",0,0.000000,0,1,8.000000,3.000000,0,False
"crUnarmedHoneyBeast","Bestia de la miel desarmada",1,0.000000,0,1,10.000000,0.000000,0,False
"MoleMinerGauntlet","Guantelete de minero topo",25,10.000000,0,1,0.000000,10.000000,75,False
"CompoundBow","Un arco compuesto",7,16.000000,1,1,0.500000,3.000000,45,False
"zzz_CompoundBowRight","Arco de poleas para mano derecha",7,10.000000,0,1,0.233300,3.000000,45,False
"zzz_CompoundBowLeft","Arco de poleas para mano izquierda",7,10.000000,0,1,0.233300,3.000000,45,False
"zzz_TestAssaultRifleChinese","Rifle de asalto",30,6.000000,20,1,0.250000,8.000000,100,False
"crUnarmedGrafton","Grafton desarmado",1,0.000000,0,1,0.000000,0.000000,0,False
"crMothmanAttack2","Ataque del hombre polilla",50,0.000000,0,1,0.000000,2.000000,0,False
"crUnarmedRadtoad","Sapo radiactivo desarmado",0,0.000000,0,1,0.000000,0.000000,0,False
"crUnarmedMoleMiner","Minero topo desarmado",1,0.000000,0,1,0.000000,0.000000,0,False
"crDLC01EyebotSelfDestructBot","Robot desarmado",25,0.000000,0,1,0.000000,0.000000,0,False
"crDLC01BotWeapMrHandy_LaserGun_Left","",0,8.000000,0,1,0.500000,0.000000,0,False
"crDLC01BotWeapMrHandy_LaserGun_Middle","",0,8.000000,0,1,0.500000,0.000000,0,False
"crDLC01BotWeapMrHandy_LaserGun_Right","",0,8.000000,0,1,0.500000,0.000000,0,False
"crDLC01BotMeleeAssaultronClawLeft","",32,10.000000,0,1,0.000000,2.000000,0,False
"crDLC01BotMeleeAssaultronClawRight","",32,10.000000,0,1,0.000000,2.000000,0,False
"crDLC01BotMeleeStunLeft","",0,10.000000,0,1,0.000000,2.000000,0,False
"crDLC01BotMeleeStunRight","",0,10.000000,0,1,0.000000,2.000000,0,False
"crMrHandy_Pincher_Left","Pinza",0,0.000000,0,1,0.000000,0.000000,0,False
"crMrHandy_Pincher_Middle","Pinza",0,0.000000,0,1,0.000000,0.000000,0,False
"crMrHandy_Pincher_Right","Pinza",0,0.000000,0,1,0.000000,0.000000,0,False
"crDLC01BotWeapMrHandy_Flamethrower_Left","Lanzallamas",0,0.000000,0,1,0.000000,0.000000,0,False
"crDLC01BotWeapMrHandy_Flamethrower_Middle","Lanzallamas",0,0.000000,0,1,0.000000,0.000000,0,False
"crDLC01BotWeapMrHandy_Flamethrower_Right","Lanzallamas",0,0.000000,0,1,0.000000,0.000000,0,False
"crMrHandy_LaserGun_Left","",0,8.000000,0,1,0.500000,0.000000,0,False
"crMrHandy_LaserGun_Middle","",0,8.000000,0,1,0.500000,0.000000,0,False
"crMrHandy_LaserGun_Right","",0,8.000000,0,1,0.500000,0.000000,0,False
"DLC01MrHandyBuzzBlade","Hoja cortante de Sr. Mañoso",0,0.000000,0,1,0.000000,10.000000,50,False
"crDLC01BotMeleeAssaultronBladeLeft","",50,10.000000,0,1,0.000000,2.000000,0,False
"crDLC01BotMeleeAssaultronBladeRight","",50,10.000000,0,1,0.000000,2.000000,0,False
"crDLC01UnarmedRoboBrain","Cerebrobot desarmado",1,0.000000,0,1,0.000000,0.000000,0,False
"crDLC01BotMeleeMrHandy_Hand_Left_Saw","Sierra",20,0.000000,0,1,0.000000,0.000000,0,False
"crDLC01BotMeleeMrHandy_Pincer_Middle","Pinza",15,0.000000,0,1,0.000000,0.000000,0,False
"crDLC01BotMeleeMrHandy_Hand_Middle_Saw","Sierra",20,0.000000,0,1,0.000000,0.000000,0,False
"crDLC01BotMeleeMrHandy_Hand_Right_Saw","Sierra",20,0.000000,0,1,0.000000,0.000000,0,False
"crDLC01BotMeleeMrHandy_Pincer_Left","Pinza",15,0.000000,0,1,0.000000,0.000000,0,False
"crDLC01BotMeleeMrHandy_Pincer_Right","Pinza",15,0.000000,0,1,0.000000,0.000000,0,False
"crDLC01BotWeapRobobrainSmokeBombLeftNoVats","DLC01BotWeapRobobrainSmokeBombLeft",1,6.000000,0,1,1.000000,3.000000,0,False
"crDLC01BotWeapRobobrainSmokeBombRightNoVats","DLC01BotWeapRobobrainSmokeBombRight",1,6.000000,0,1,1.000000,3.000000,0,False
"crDLC01UnarmedMrHandyLMOptional","Sr. Mañoso desarmado",5,0.000000,0,1,0.000000,0.000000,0,False
"crDLC01UnarmedMrHandyRMOptional","Sr. Mañoso desarmado",5,0.000000,0,1,0.000000,0.000000,0,False
"crDLC01BotMeleeViceLeft","",15,10.000000,0,1,0.000000,2.000000,0,False
"crDLC01BotMeleeViceRight","",15,10.000000,0,1,0.000000,2.000000,0,False
"crDLC01BotWeapLaserGunAutoLeft","",0,8.000000,0,1,0.150000,0.000000,0,False
"crDLC01BotWeapLaserGunAutoRight","",0,8.000000,0,1,0.150000,0.000000,0,False
"crDLC01BotWeapLaserGunLeft","",0,8.000000,0,1,0.500000,0.000000,0,False
"crDLC01BotWeapLaserGunRight","",0,8.000000,0,1,0.500000,0.000000,0,False
"DLC01LightningGun","Tesla",0,23.000000,15,1,0.500000,8.000000,180,False
"crDLC01Sparks_WeapLightningGun","Rayo de ojobot",0,0.000000,0,1,0.000000,3.000000,0,False
"crDLC01_SentryBotRightMiniFatMan","SentryBotRightRocketLauncher",10,0.000000,0,1,8.000000,3.000000,0,False
"crDLC01_Unstable_Weap_SentryGatlingLaserRight","Ametralladora láser derecha de Robot centinela",0,0.000000,0,1,0.000000,3.000000,0,False
"crDLC01_Unstable_Weap_SentryExplosiveMinigunLeft","Ametralladora explosiva izquierda de Robot centinela",24,0.000000,0,1,0.000000,3.000000,0,False
"crDLC01_Unstable_Weap_SentryExplosiveMinigunRight","Ametralladora explosiva derecha de Robot centinela",24,0.000000,0,1,0.000000,3.000000,0,False
"crDLC01_Unstable_Weap_SentryShoulderLauncherClusterFrenzyGasLeft","",1,0.000000,0,1,5.000000,3.000000,0,False
"crDLC01_Unstable_Weap_SentryShoulderLauncherClusterFrenzyGasRight","",1,0.000000,0,1,5.000000,3.000000,0,False
"crDLC01_Unstable_Weap_SentryGatlingLaserLeft","Ametralladora láser izquierda de Robot centinela",0,0.000000,0,1,0.000000,3.000000,0,False
"crDLC01_Unstable_Weap_SentryShoulderLauncherFatManLeft","Lanzador Fat Man de hombro izquierdo de Robot centinela",1,0.000000,0,1,12.000000,3.000000,0,False
"crDLC01_Unstable_Weap_SentryShoulderLauncherFatManRight","Lanzador Fat Man de hombro derecho de Robot centinela",1,0.000000,0,1,12.000000,3.000000,0,False
"crDLC01BotWeapLightningGunLeft","Arma de rayos",0,6.000000,0,1,1.000000,8.000000,0,False
"crDLC01BotWeapLightningGunRight","Arma de rayos",0,6.000000,0,1,1.000000,8.000000,0,False
"crDLC01BotWeapLightningGunMrHandyMiddle","Arma de rayos",0,6.000000,0,1,1.000000,8.000000,0,False
"crDLC01BotWeapLightningGunMrHandyLeft","Arma de rayos",0,6.000000,0,1,1.000000,8.000000,0,False
"crDLC01BotWeapLightningGunMrHandyRight","Arma de rayos",0,6.000000,0,1,1.000000,8.000000,0,False
"crDLC01BotWeapRobobrainSmokeBombLeft","DLC01BotWeapRobobrainSmokeBombLeft",1,6.000000,0,1,1.000000,3.000000,0,False
"crDLC01BotWeapRobobrainSmokeBombRight","DLC01BotWeapRobobrainSmokeBombRight",1,6.000000,0,1,1.000000,3.000000,0,False
"crDLC01BotWeapRobobrainMezmatronHead","Hipnotrón",24,6.000000,0,1,5.000000,3.000000,0,False
"crDLC01_TurretMountedLightningGun","Arma de rayos de torreta",0,8.000000,0,1,1.000000,25.000000,0,False
"DLC01_AssaultronBlade","Hoja de Asaltrón",17,10.000000,0,1,0.000000,1.000000,70,False
"crDLC01BotWeapSentryBotLeftFlamer","Lanzallamas izquierdo de Robot centinela",0,0.000000,0,1,1.000000,3.000000,0,False
"crDLC01BotWeapSentryBotRightFlamer","Lanzallamas derecho de Robot centinela",0,0.000000,0,1,1.000000,3.000000,0,False
"DLC01AssaultronHeadCharging","Cabeza de Asaltrón recuperada",0,24.000000,5,1,0.150000,8.000000,115,False
"crDLC01BotMeleeShishkebabLeft","Pincho moruno",35,0.000000,0,1,0.000000,3.000000,0,False
"crDLC01BotMeleeShishkebabRight","Pincho moruno",35,0.000000,0,1,0.000000,3.000000,0,False
"crDLC01BotWeapProtectron01ArmNailGunLeft","",1,6.000000,0,1,0.500000,3.000000,0,False
"crDLC01BotWeapProtectron01ArmNailGunRight","",1,6.000000,0,1,0.500000,3.000000,0,False
"crDLC01BotMeleeHammerSawLeft","Sierra martillo",52,0.000000,0,1,0.000000,3.000000,0,False
"crDLC01BotMeleeHammerSawRight","Sierra martillo",52,0.000000,0,1,0.000000,3.000000,0,False
"crDLC01BotWeapGammaGunLeft","",0,8.000000,0,1,0.250000,3.000000,0,False
"crDLC01BotWeapGammaGunRight","",0,8.000000,0,1,0.250000,3.000000,0,False
"crDLC01BotWeapGatlingLaserRight","Ametralladora láser",0,6.000000,0,1,0.000000,18.000000,0,False
"crDLC01BotWeapGatlingLaserLeft","Ametralladora láser",0,6.000000,0,1,0.000000,18.000000,0,False
"crDLC01BotMeleeAxeLeft","",31,10.000000,0,1,0.000000,2.000000,0,False
"crDLC01BotMeleeAxeRight","",31,10.000000,0,1,0.000000,2.000000,0,False
"crDLC01BotMeleeBatonLeft","",13,10.000000,0,1,0.000000,2.000000,0,False
"crDLC01BotMeleeBatonRight","",13,10.000000,0,1,0.000000,2.000000,0,False
"crDLC01BotMeleeDrillLeft","",38,10.000000,0,1,0.000000,2.000000,0,False
"crDLC01BotMeleeDrillRight","",38,10.000000,0,1,0.000000,2.000000,0,False
"crDLC01BotMeleeHammerLeft","",34,10.000000,0,1,0.000000,2.000000,0,False
"crDLC01BotMeleeHammerRight","",34,10.000000,0,1,0.000000,2.000000,0,False
"crDLC01BotMeleeHookLeft","",22,10.000000,0,1,0.000000,2.000000,0,False
"crDLC01BotMeleeHookRight","",22,10.000000,0,1,0.000000,2.000000,0,False
"crDLC01BotMeleeSawLeft","",30,10.000000,0,1,0.000000,2.000000,0,False
"crDLC01BotMeleeSawRight","",30,10.000000,0,1,0.000000,2.000000,0,False
"crDLC01BotMeleeSkullLeft","",25,10.000000,0,1,0.000000,2.000000,0,False
"crDLC01BotMeleeSkullRight","",25,10.000000,0,1,0.000000,2.000000,0,False
"crDLC01BotMeleeProtectronClawLeft","",1,10.000000,0,1,0.000000,2.000000,0,False
"crDLC01BotMeleeProtectronClawRight","",1,10.000000,0,1,0.000000,2.000000,0,False
